Appreciation,YEAR,NUNSIGNED,NSIGNED,PSIZE,AFREQUENCY,ALIFE,MRACE,MINST_OLD,MFAME,MLIFE,MINST
2568.68,35,1300,0,432,1,Alive,UNKNOWN,None,1,Alive,
1142.75,34,1000,1000,805,1,Alive,Black,None,1,Dead,
638.22,33,5000,500,690,1,Alive,Black,Band,1,Alive,O
567.23,32,5000,1000,793.5,1,Alive,Black,Band,1,Alive,O
388.13,31,10000,1000,969,1,Alive,Black,Woodwind,1,Alive,O
480.4,30,10000,1500,737,1,Alive,UNKNOWN,Woodwind,1,Alive,O
331.91,29,12500,2000,558,1,Alive,UNKNOWN,Percussion,1,Alive,O
275.57,28,12500,2000,672,1,Alive,Black,Band,1,Alive,O
166.42,27,12500,2500,600,2,Dead,Black,Percussion,1,Alive,O
139.8,26,12500,2500,600,1,Alive,Black,Woodwind,1,Alive,O
286.04,25,12500,2500,648,1,Alive,Black,Woodwind,1,Alive,O
82.21,24,12500,2500,748,1,Alive,UNKNOWN,Band,1,Alive,O
134.42,23,12500,2500,576,2,Dead,Black,Percussion,1,Alive,O
101.83,22,12500,2500,640,1,Alive,UNKNOWN,Band,1,Alive,O
434.5,21,12500,2500,704,1,Alive,Black,Percussion,5,Alive,O
72.35,20,12500,2500,660,1,Alive,Black,Woodwind,2,Dead,O
51.5,19,15000,15000,748,1,Dead,UNKNOWN,Band,1,Alive,O
108.91,18,10000,2000,432,1,Alive,UNKNOWN,Band,3,Alive,O
817.27,17,10000,2500,735,3,Alive,Black,Woodwind,5,Dead,O
453.36,16,10000,3000,735,3,Alive,White,Woodwind,3,Alive,O
344.97,15,10000,3000,759,2,Alive,Black,Band,1,Alive,O
544.04,14,10000,3000,648,5,Alive,White,Percussion,4,Alive,O
232.53,13,10000,3000,680,1,Alive,Black,Percussion,3,Dead,O
281.4,12,10000,3000,735,3,Alive,White,Woodwind,3,Dead,O
563.58,11,10000,3000,828,5,Alive,Black,Woodwind,5,Dead,O
174.77,10,10000,3000,665,1,Alive,Black,Woodwind,4,Alive,O
87.67,9,10000,3000,684,5,Alive,Black,Voice,5,Dead,V
53.35,8,10000,3000,700,1,Alive,White,Percussion,5,Alive,O
105.7,7,10000,3000,736,1,Alive,Black,Band,3,Dead,O
317.87,6,12500,3500,720,5,Alive,Black,Percussion,5,Alive,O
53.66,5,10000,3000,814,2,Alive,White,Percussion,5,Alive,O
51.48,4,10000,3000,544,1,Alive,Black,Voice,4,Alive,V
56.22,3,10000,3000,720,5,Alive,Black,Percussion,3,Alive,O
22.41,2,12500,2000,805,1,Alive,White,Woodwind,4,Alive,O
-1.44,1,10000,3000,684,1,Alive,White,Voice,5,Alive,V
